Note: use the same via as the front for the board zero reference!,,,,,,,,,,,
#,X,Y,z,Rot,Fdr,A,B,C,D,E,Comments
C4,-1838.575,1552.575,1170,0,2,No,No,No,,,1uF C_0805_HandSoldering
C5,-374.9,-330.2,1170,0,2,No,No,No,,,100nF C_0805
C6,-372.36,-474.98,1170,0,2,No,No,No,,,100nF C_0805
C7,-1825.875,2168.525,1170,0,2,No,No,No,,,1uF C_0805_HandSoldering
C8,-1828.415,292.1,1170,4000,2,No,No,No,,,0.1uF C_0805
C9,-921,285.115,1170,4000,2,No,No,No,,,0.1uF C_0805
C501,-2167.505,-342.265,1170,4000,2,No,No,No,,,18pF C_0805
C502,-1801.745,-337.185,1170,0,2,No,No,No,,,18pF C_0805
C601,-1082.925,-336.55,1170,4000,2,No,No,No,,,18pF C_0805
C603,-835.275,-342.9,1170,4000,2,No,No,No,,,18pF C_0805
D1,-1387.725,1031.875,1170,2000,2,No,No,No,,,D_Schottky_ALT SOD-128
D2,-1540.125,1031.875,1170,2000,2,No,No,No,,,D_Schottky_ALT SOD-128
D5,98.175,498.475,1170,0,2,No,No,No,,,D_TVS_ALT D_0805
D6,98.175,625.475,1170,0,2,No,No,No,,,D_TVS_ALT D_0805
D201,-498.725,120.65,1170,0,2,No,No,No,,,D_TVS_ALT D_0805
D202,-501.9,241.3,1170,0,2,No,No,No,,,D_TVS_ALT D_0805
D203,-498.725,374.65,1170,0,2,No,No,No,,,D_TVS_ALT D_0805
D204,-501.9,498.475,1170,0,2,No,No,No,,,D_TVS_ALT D_0805
D205,-501.9,758.825,1170,0,2,No,No,No,,,D_TVS_ALT D_0805
D206,-501.9,882.65,1170,0,2,No,No,No,,,D_TVS_ALT D_0805
D207,-501.9,1009.65,1170,0,2,No,No,No,,,D_TVS_ALT D_0805
D208,-501.9,1260.475,1170,0,2,No,No,No,,,D_TVS_ALT D_0805
D209,-501.9,1390.65,1170,0,2,No,No,No,,,D_TVS_ALT D_0805
D210,-508.25,1898.65,1170,0,2,No,No,No,,,D_TVS_ALT D_0805
D211,-505.075,1765.3,1170,0,2,No,No,No,,,D_TVS_ALT D_0805
D212,-508.25,2149.475,1170,0,2,No,No,No,,,D_TVS_ALT D_0805
D213,-501.9,1514.475,1170,0,2,No,No,No,,,D_TVS_ALT D_0805
D214,-508.25,2403.475,1170,0,2,No,No,No,,,D_TVS_ALT D_0805
D215,-508.25,2025.65,1170,0,2,No,No,No,,,D_TVS_ALT D_0805
D216,-508.25,2276.475,1170,0,2,No,No,No,,,D_TVS_ALT D_0805
D220,98.175,1009.015,1170,0,2,No,No,No,,,D_TVS_ALT D_0805
D221,103.255,1133.475,1170,0,2,No,No,No,,,D_TVS_ALT D_0805
D222,107.7,1390.65,1170,0,2,No,No,No,,,D_TVS_ALT D_0805
D223,107.7,1514.475,1170,0,2,No,No,No,,,D_TVS_ALT D_0805
D224,107.7,1641.475,1170,0,2,No,No,No,,,D_TVS_ALT D_0805
D225,107.7,1768.475,1170,0,2,No,No,No,,,D_TVS_ALT D_0805
D226,107.7,2022.475,1170,0,2,No,No,No,,,D_TVS_ALT D_0805
D227,106.725,2279.825,1170,0,2,No,No,No,,,D_TVS_ALT D_0805
D228,106.725,2404.825,1170,0,2,No,No,No,,,D_TVS_ALT D_0805
D229,106.725,2529.825,1170,0,2,No,No,No,,,D_TVS_ALT D_0805
F2,-1403.6,752.475,1170,2000,2,No,No,No,,,FUSE 2-SMD_Fuse
F4,-1530.6,752.475,1170,2000,2,No,No,No,,,FUSE 2-SMD_Fuse
Q3,-1121.025,549.275,1170,6000,2,No,No,No,,,BSS138 N-Fet_BSS138_SOT-23
Q4,-1124.2,990.6,1170,6000,2,No,No,No,,,PFET_SOT223_NTF6P02 SOT-223_GDS
Q7,-1806.825,549.275,1170,6000,2,No,No,No,,,BSS138 N-Fet_BSS138_SOT-23
Q8,-1810,990.6,1170,6000,2,No,No,No,,,PFET_SOT223_NTF6P02 SOT-223_GDS
R6,-1375.025,549.275,1170,2000,2,No,No,No,,,5k R_0805
R8,-1273.425,549.275,1170,2000,2,No,No,No,,,100k R_0805
R10,-1121.025,701.675,1170,0,2,No,No,No,,,100k R_0805
R12,-2060.825,549.275,1170,2000,2,No,No,No,,,5k R_0805
R14,-1959.225,549.275,1170,2000,2,No,No,No,,,100k R_0805
R16,-1806.825,701.675,1170,0,2,No,No,No,,,100k R_0805
R19,-2314.825,552.45,1170,0,2,No,No,No,,,10k R_0805
R501,-2114.8,158.75,1170,2000,2,No,No,No,,,10k R_0805
R502,-2111.625,295.275,1170,4000,2,No,No,No,,,1k R_0805
R503,-1702.05,-34.925,1170,2000,2,No,No,No,,,10k R_0805
R603,-787.65,9.525,1170,2000,2,No,No,No,,,10k R_0805
R605,-1181.35,149.225,1170,2000,2,No,No,No,,,10k R_0805
R607,-1111.5,314.325,1170,4000,2,No,No,No,,,1k R_0805
U3,-2165.6,2032,1170,2000,2,No,No,No,,,SN74CB3Q3345 bus_switch_sn74cb3q3345_rev2
U4,-2165.6,1397,1170,2000,2,No,No,No,,,SN74CB3Q3345 bus_switch_sn74cb3q3345_rev2
U6,-578.1,-406.4,1170,6000,2,No,No,No,,,BMG160 LGA-12_2x2mm_Pitch0.5mm
U501,-1921.125,66.675,1170,2000,2,No,No,No,,,SC16IS750 TSSOP-16-1EP_4.4x5mm_Pitch0.65mm
U601,-981.325,61.595,1170,2000,2,No,No,No,,,SC16IS750 TSSOP-16-1EP_4.4x5mm_Pitch0.65mm
##,End,,,,,,,,,,
